Sira,MAHALLE,IL,ILCE
1,AKÖREN,ADANA,ALADAĞ
2,MANSURLU,ADANA,ALADAĞ
3,SİNANPAŞA,ADANA,ALADAĞ
4,BAŞPINAR,ADANA,ALADAĞ
5,AKPINAR,ADANA,ALADAĞ
6,BOZTAHTA,ADANA,ALADAĞ
7,BÜYÜKSOFULU,ADANA,ALADAĞ
8,CERİTLER,ADANA,ALADAĞ
9,DARILIK,ADANA,ALADAĞ
10,DAYILAR,ADANA,ALADAĞ
11,DÖLEKLİ,ADANA,ALADAĞ
12,EĞNER,ADANA,ALADAĞ
13,GERDİBİ,ADANA,ALADAĞ
14,GÖKÇE,ADANA,ALADAĞ
15,EBRİŞİM,ADANA,ALADAĞ
16,KABASAKAL,ADANA,ALADAĞ
17,KARAHAN,ADANA,ALADAĞ
18,KICAK,ADANA,ALADAĞ
19,KIŞLAK,ADANA,ALADAĞ
20,KIZILDAM,ADANA,ALADAĞ
21,KÖKEZ,ADANA,ALADAĞ
22,KÖPRÜCÜK,ADANA,ALADAĞ
23,KÜP,ADANA,ALADAĞ
24,MADENLİ,ADANA,ALADAĞ
25,MAZILIK,ADANA,ALADAĞ
26,TOPALLI,ADANA,ALADAĞ
27,UZUNKUYU,ADANA,ALADAĞ
28,POSYAĞBASAN,ADANA,ALADAĞ
29,GİREĞİYENİKÖY,ADANA,ALADAĞ
30,YETİMLİ,ADANA,ALADAĞ
31,YÜKSEKÖREN,ADANA,ALADAĞ
32,AĞAÇPINAR,ADANA,CEYHAN
33,ALTIKARA,ADANA,CEYHAN
34,AZİZLİ,ADANA,CEYHAN
35,BÜYÜKBURHANİYE,ADANA,CEYHAN
36,ÇAKALDERE,ADANA,CEYHAN
37,ÇEVRETEPE,ADANA,CEYHAN
38,ÇİÇEKLİ,ADANA,CEYHAN
39,ÇİFTLİKLER,ADANA,CEYHAN
40,ÇOKÇAPINAR,ADANA,CEYHAN
41,DEĞİRMENDERE,ADANA,CEYHAN
42,DOKUZTEKNE,ADANA,CEYHAN
43,DURHASANDEDE,ADANA,CEYHAN
44,DUTLUPINAR,ADANA,CEYHAN
45,ERENLER,ADANA,CEYHAN
46,GÜNDOĞAN,ADANA,CEYHAN
47,VEYSİYE,ADANA,CEYHAN
48,HAMİDİYE,ADANA,CEYHAN
49,HAMİTBEY,ADANA,CEYHAN
50,HAMİTBEYBUCAĞI,ADANA,CEYHAN
51,İMRAN,ADANA,CEYHAN
52,MERCİN,ADANA,CEYHAN
53,İSALI,ADANA,CEYHAN
54,KILIÇKAYA,ADANA,CEYHAN
55,KIZILDERE,ADANA,CEYHAN
56,KÖPRÜLÜ,ADANA,CEYHAN
57,KÖRKUYU,ADANA,CEYHAN
58,KUZUCAK,ADANA,CEYHAN
59,KÜÇÜKBURHANİYE,ADANA,CEYHAN
60,KÜÇÜKMANGIT,ADANA,CEYHAN
61,NARLIK,ADANA,CEYHAN
62,SAĞIRLAR,ADANA,CEYHAN
63,SELİMİYE,ADANA,CEYHAN
64,SİRKELİ,ADANA,CEYHAN
